index,TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,target
261,23.30000000000001,2023-08-14 18:13:38,Debit,Los Angeles,ATM,59.0,Engineer,161.0,1.0,6711.15,2024-11-04 08:08:06,1
263,512.81,2023-07-19 16:57:01,Debit,Sacramento,Branch,79.0,Retired,30.0,1.0,6994.34,2024-11-04 08:11:58,1
264,488.15,2023-07-31 16:01:00,Debit,Louisville,Branch,43.0,Engineer,168.0,1.0,7071.09,2024-11-04 08:11:13,1
265,12.819999999999993,2023-04-05 18:37:10,Debit,Fort Worth,ATM,44.0,Engineer,156.0,1.0,9045.19,2024-11-04 08:08:25,3
267,535.91,2023-07-07 16:38:12,Debit,Las Vegas,Online,43.0,Engineer,22.0,1.0,9642.12,2024-11-04 08:10:49,3
269,97.98000000000002,2023-02-06 16:09:48,Debit,Denver,Branch,72.0,Retired,18.0,1.0,7460.33,2024-11-04 08:08:43,0
270,196.08,2023-08-25 16:52:28,Debit,San Francisco,Online,61.0,Retired,98.0,1.0,4233.82,2024-11-04 08:06:31,1
271,251.18,2023-06-01 16:51:11,Debit,San Jose,ATM,42.0,Engineer,246.0,1.0,8303.9,2024-11-04 08:07:55,3
272,44.52000000000001,2023-03-28 18:30:25,Debit,El Paso,Online,28.0,Student,205.0,1.0,314.27999999999975,2024-11-04 08:10:28,0
273,178.87,2023-05-23 16:03:54,Debit,Baltimore,Online,35.0,Doctor,180.0,1.0,5241.23,2024-11-04 08:10:16,3
275,386.68,2023-10-31 16:48:01,Debit,New York,Branch,46.0,Doctor,128.0,1.0,6863.06,2024-11-04 08:06:28,2
276,167.14,2023-04-24 18:33:29,Debit,Denver,Online,76.0,Retired,20.0,1.0,3877.73,2024-11-04 08:06:26,3
277,345.22,2023-09-05 16:55:47,Debit,Fresno,Branch,69.0,Retired,253.0,1.0,4046.58,2024-11-04 08:07:36,1
278,74.85,2023-12-25 17:19:08,Debit,Raleigh,ATM,72.0,Retired,117.0,1.0,2409.73,2024-11-04 08:11:49,2
279,671.73,2023-10-16 16:15:54,Debit,Washington,Branch,58.0,Engineer,54.0,1.0,5211.88,2024-11-04 08:12:04,2
280,255.04,2023-11-23 16:15:59,Debit,Seattle,ATM,45.0,Engineer,152.0,1.0,6217.86,2024-11-04 08:11:38,2
281,45.77000000000001,2023-02-09 17:50:23,Debit,Philadelphia,Online,25.0,Student,109.0,1.0,5978.12,2024-11-04 08:08:01,0
284,11.920000000000016,2023-10-09 17:48:55,Debit,San Diego,,53.0,Doctor,52.0,1.0,14611.9,2024-11-04 08:11:22,1
285,47.420000000000016,2023-12-19 16:46:08,Debit,San Diego,ATM,64.0,Doctor,27.999999999999986,1.0,8253.52,2024-11-04 08:08:56,2
286,35.99000000000001,2023-01-19 16:14:12,Debit,Miami,Branch,63.0,Retired,129.0,1.0,4489.79,2024-11-04 08:09:17,0
289,48.72,2023-09-29 18:54:28,Debit,Virginia Beach,Branch,21.0,Student,17.0,1.0,816.0799999999999,2024-11-04 08:07:27,1
290,43.46000000000001,2023-07-21 17:02:42,Debit,Boston,ATM,25.0,Student,80.0,1.0,578.0599999999995,2024-11-04 08:10:45,1
292,443.79,2023-10-09 18:28:04,Debit,Las Vegas,ATM,53.0,Retired,87.0,1.0,3133.85,2024-11-04 08:11:16,1
293,365.14,2023-12-01 18:46:28,Debit,Dallas,Online,68.0,Retired,57.0,1.0,5894.09,2024-11-04 08:07:25,2
294,757.41,2023-05-05 16:31:53,Debit,Los Angeles,ATM,22.0,Student,37.0,1.0,9532.42,2024-11-04 08:09:03,3
295,20.54000000000002,2023-08-21 18:09:24,Debit,Fort Worth,Branch,51.0,Engineer,72.0,1.0,5327.03,2024-11-04 08:07:28,1
296,475.36,2023-10-02 16:03:09,Debit,Phoenix,ATM,34.0,Engineer,105.0,1.0,2000.6,2024-11-04 08:06:59,1
297,34.74000000000001,2023-06-26 16:40:21,Debit,San Francisco,ATM,56.0,Retired,24.0,1.0,6827.57,2024-11-04 08:11:03,3
298,689.54,2023-03-06 16:46:57,Debit,Oklahoma City,Branch,27.0,Student,93.0,1.0,1633.7600000000002,2024-11-04 08:08:53,0
299,211.18,2023-10-16 16:09:47,Debit,Washington,ATM,73.0,Retired,90.0,1.0,4069.17,2024-11-04 08:11:50,2
302,61.43000000000001,2023-06-29 16:16:37,Debit,Phoenix,Online,24.0,Student,170.0,1.0,1882.77,2024-11-04 08:08:18,3
303,167.44,2023-09-25 16:11:18,Debit,Mesa,Branch,37.0,Doctor,82.0,1.0,12526.71,2024-11-04 08:10:49,1
304,361.46,2023-04-07 17:23:05,Debit,Nashville,Online,21.0,Student,83.0,1.0,4737.84,2024-11-04 08:10:42,3
305,378.85,2023-06-16 17:21:15,Debit,Virginia Beach,Branch,78.0,Retired,126.0,1.0,2300.53,2024-11-04 08:09:07,3
